Date,Open,High,Low,Close,Volume,Adj Close
2008-02-07,31.42,32.76,31.40,31.99,4694000,31.99
2008-02-06,33.10,33.65,31.63,31.83,4009300,31.83
2008-02-05,34.51,34.80,32.76,32.93,4065500,32.93
2008-02-04,37.27,37.76,35.31,35.77,4948000,35.77
2008-02-01,35.50,37.39,35.34,36.74,6513900,36.74
2008-01-31,32.50,35.25,31.55,34.79,7680600,34.79
2008-01-30,30.94,33.50,30.94,32.56,8069000,32.56
2008-01-29,30.19,30.89,29.78,30.61,2963500,30.61
2008-01-28,28.63,29.78,28.07,29.70,1813400,29.70
2008-01-25,31.00,31.14,28.89,29.23,3002700,29.23
2008-01-24,29.42,30.77,29.14,30.20,5336800,30.20
2008-01-23,28.82,30.20,27.08,29.35,6699600,29.35
2008-01-22,25.44,30.50,25.28,30.27,5942200,30.27
2008-01-18,30.13,30.95,28.81,29.89,7119200,29.89
2008-01-17,29.81,31.07,29.23,29.83,9548600,29.83
2008-01-16,26.86,29.50,26.32,29.26,10578300,29.26
2008-01-15,28.68,29.05,27.24,27.60,4687000,27.60
2008-01-14,29.65,29.76,28.32,29.52,4621200,29.52
2008-01-11,29.34,29.70,28.15,28.94,5465300,28.94
2008-01-10,27.51,30.34,27.03,29.70,7484000,29.70
2008-01-09,30.00,30.35,26.34,28.23,11604400,28.23
2008-01-08,27.00,31.15,26.63,30.05,16861800,30.05
2008-01-07,32.76,32.96,27.03,28.14,17136600,28.14
2008-01-04,36.51,36.79,32.34,32.75,9205600,32.75
2008-01-03,38.00,39.29,36.98,37.75,4840100,37.75
2008-01-02,38.00,38.45,37.31,37.90,4853800,37.90
2007-12-31,37.54,37.60,36.00,36.81,4690200,36.81
2007-12-28,38.98,39.30,37.87,37.95,2540200,37.95
2007-12-27,40.11,40.35,38.47,38.66,2202400,38.66
2007-12-26,39.57,40.46,38.90,40.39,2469500,40.39
2007-12-24,40.59,41.00,39.63,39.97,1648200,39.97
2007-12-21,42.14,42.45,40.15,40.95,3191000,40.95
2007-12-20,41.38,41.98,40.66,41.79,1854200,41.79
2007-12-19,40.60,41.60,39.95,41.14,3203700,41.14
2007-12-18,40.66,40.70,38.32,40.66,3097400,40.66
2007-12-17,40.88,42.23,39.45,39.78,3561300,39.78
2007-12-14,40.03,41.96,40.03,41.50,2954800,41.50
2007-12-13,41.25,41.63,40.25,41.10,3595400,41.10
2007-12-12,44.57,44.75,40.85,42.20,4500400,42.20
2007-12-11,45.56,45.97,42.61,43.23,4455900,43.23
2007-12-10,45.96,46.80,45.00,45.61,2913100,45.61
2007-12-07,45.50,46.49,44.60,45.74,4537300,45.74
2007-12-06,43.06,45.60,42.32,45.21,6312200,45.21
2007-12-05,42.25,43.25,42.04,42.82,5536500,42.82
2007-12-04,41.11,43.75,40.90,41.28,6355600,41.28
2007-12-03,39.05,42.00,38.75,41.51,5089100,41.51
2007-11-30,40.05,40.36,38.79,39.03,4687000,39.03
2007-11-29,39.67,40.92,37.97,39.08,4878000,39.08
2007-11-28,37.41,40.09,37.35,39.67,5409900,39.67
2007-11-27,38.40,39.10,36.55,36.87,4001000,36.87
2007-11-26,39.85,40.36,37.94,38.21,3931700,38.21
2007-11-23,39.60,39.86,38.70,39.50,1847700,39.50
2007-11-21,36.80,39.52,36.05,38.76,4298000,38.76
2007-11-20,39.49,40.10,37.85,38.69,5050900,38.69
2007-11-19,42.34,42.51,39.00,39.22,6251200,39.22
2007-11-16,40.99,42.73,40.62,42.29,8290900,42.29
2007-11-15,40.20,40.99,39.50,40.51,6038300,40.51
2007-11-14,40.82,41.89,39.29,39.85,10845700,39.85
2007-11-13,36.58,39.64,35.72,38.95,12626400,38.95
2007-11-12,39.95,39.97,34.27,35.39,12792400,35.39
2007-11-09,35.54,40.09,34.83,38.49,16127800,38.49
2007-11-08,41.55,42.00,33.75,37.02,28863900,37.02
2007-11-07,42.32,43.18,40.85,41.47,12119500,41.47
2007-11-06,42.15,43.80,40.55,41.76,18058300,41.76
2007-11-05,45.62,46.49,40.04,41.45,33088800,41.45
2007-11-02,48.56,50.24,43.79,47.52,37708500,47.52
2007-11-01,53.60,55.86,47.37,47.74,60485700,47.74
2007-10-31,73.72,75.21,71.00,74.75,17104100,74.75
2007-10-30,72.13,73.75,70.54,72.09,4295200,72.09
2007-10-29,70.25,73.50,70.11,72.20,5419700,72.20
2007-10-26,66.98,69.23,65.47,68.98,4643100,68.98
2007-10-25,65.30,66.68,63.54,64.51,3266800,64.51
2007-10-24,67.50,67.50,64.10,65.29,3066400,65.29
2007-10-23,68.25,68.93,66.75,68.00,3194800,68.00
2007-10-22,64.65,67.48,60.28,67.33,5738300,67.33
2007-10-19,69.20,69.81,65.90,66.30,3850600,66.30
2007-10-18,69.25,70.25,67.89,69.85,3656900,69.85
2007-10-17,70.60,72.40,69.41,69.69,3813300,69.69
2007-10-16,69.88,70.18,68.27,69.38,3166100,69.38
2007-10-15,68.01,71.95,67.95,70.30,7795300,70.30
2007-10-12,65.65,67.80,65.62,67.71,2237700,67.71
2007-10-11,67.24,68.19,64.40,66.03,4864700,66.03
2007-10-10,66.57,68.00,66.36,67.03,2182600,67.03
2007-10-09,68.50,68.81,66.36,67.06,3280100,67.06
2007-10-08,67.75,68.78,67.50,68.35,2511700,68.35
2007-10-05,67.49,68.50,67.27,67.68,2774300,67.68
2007-10-04,66.80,67.80,66.05,66.86,2159600,66.86
2007-10-03,66.69,69.30,66.41,66.79,4784400,66.79
2007-10-02,66.74,67.46,65.88,67.22,3562000,67.22
2007-10-01,67.31,67.80,66.01,66.64,4282900,66.64
2007-09-28,65.90,68.12,65.64,67.25,5371700,67.25
2007-09-27,64.31,66.39,63.28,66.34,5534000,66.34
2007-09-26,65.11,65.25,63.40,64.27,5880400,64.27
2007-09-25,63.01,64.95,60.00,64.38,12469100,64.38
2007-09-24,57.00,62.65,57.00,61.98,11205400,61.98
2007-09-21,57.17,57.63,56.38,56.86,4976600,56.86
2007-09-20,55.55,57.07,54.85,56.60,5258200,56.60
2007-09-19,57.50,58.00,54.85,55.34,7897400,55.34
2007-09-18,55.73,57.80,54.45,57.10,7227200,57.10
